Package,LibPath,Version,Priority,Built
matrixStats,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.0.0,NA,4.3.0
memoise,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,2.0.1,NA,4.3.0
methods,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,4.3.1,base,4.3.1
mgcv,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.8-42,recommended,4.3.1
mime,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.12,NA,4.3.1
miniUI,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.1.1.1,NA,4.3.0
munsell,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.5.0,NA,4.3.1
neurobase,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.32.3,NA,4.3.0
nlme,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,3.1-162,recommended,4.3.1
nnet,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,7.3-19,recommended,4.3.1
openssl,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,2.1.0,NA,4.3.1
oro.nifti,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.11.4,NA,4.3.0
pak,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.6.0,NA,4.3.0
parallel,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,4.3.1,base,4.3.1
parsedate,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.3.1,NA,4.3.0
pbmcapply,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.5.1,NA,4.3.0
pillar,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.9.0,NA,4.3.1
pkgbuild,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.4.2,NA,4.3.0
pkgconfig,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,2.0.3,NA,4.3.1
pkgdown,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,2.0.7,NA,4.3.0
pkgload,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.3.2.1,NA,4.3.0
plotly,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,4.10.2,NA,4.3.0
plyr,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.8.8,NA,4.3.0
polyclip,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.10-4,NA,4.3.1
praise,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.0.0,NA,4.3.0
prettyunits,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.1.1,NA,4.3.0
processx,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,3.8.2,NA,4.3.0
profvis,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.3.8,NA,4.3.0
progress,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.2.2,NA,4.3.0
promises,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.2.1,NA,4.3.0
